53312949697,44 GORDON Street TULLAMARINE 3043,-37.703694038886,144.877100738174,-37.703693538886,144.87710183817399
53312950283,11 STELLING Drive LUCAS 3350,-37.547854803292,143.783729832519,-37.547854303292,143.78373093251898
53312950374,3 STELLING Drive LUCAS 3350,-37.547282235486,143.783832929928,-37.547281735486,143.783834029928
53312952691,5 DENNYS Place GEELONG 3220,-38.147493264707,144.359098619017,-38.147492764707,144.359099719017
53312829460,23 WYONG Street KEILOR EAST 3033,-37.734240753452,144.865648208589,-37.734240253452,144.86564930858898
53312830329,2 STELLING Drive LUCAS 3350,-37.546840299641,143.783542916078,-37.546839799641,143.783544016078
53312830873,26 SPIKE BAR Way MOOLAP 3224,-38.185356249188,144.42479304244,-38.185355749188,144.42479414244
53312830972,U1 44 SERVICE Street COBURG 3058,-37.738088591834,144.962728500815,-37.738088091834,144.96272960081498
53312831666,U3 30-32 RESCHKE Court LAVERTON 3028,-37.86490406276,144.77467823996,-37.86490356276,144.77467933996
53312832620,U5 30-32 RESCHKE Court LAVERTON 3028,-37.864799959522,144.774709672096,-37.864799459522004,144.774710772096
53312704390,41 POWELL Street OCEAN GROVE 3226,-38.264491934452,144.520509431381,-38.264491434452005,144.52051053138098
53312704473,45 PAISLEY Street FOOTSCRAY 3011,-37.801164718252,144.898580789984,-37.801164218252,144.898581889984
53312845292,U2 19 DALYSTON Street GROVEDALE 3216,-38.198739256802,144.334584821171,-38.198738756802,144.334585921171
53312847834,U2 144 ASBURY Street OCEAN GROVE 3226,-38.263506013091,144.531508919099,-38.263505513091005,144.531510019099
53312937429,3A MORVEN Street YARRAVILLE 3013,-37.821295577018,144.885531507845,-37.821295077018,144.885532607845
53313073580,7 HUNTINGDALE Drive MOOLAP 3224,-38.186095784505,144.424810812075,-38.186095284505,144.424811912075
53313073986,22 GULL Drive MOOLAP 3224,-38.186499456962,144.424917010788,-38.186498956962,144.42491811078798
53313074448,18 GULL Drive MOOLAP 3224,-38.186215310444,144.425013067399,-38.186214810444,144.42501416739898
53313074521,7 HARRISON Rise DRYSDALE 3222,-38.165770549404,144.56077056218,-38.165770049404,144.56077166218
53313075363,29 HARRISON Rise DRYSDALE 3222,-38.165993130843,144.562702423224,-38.165992630843,144.562703523224
53313075636,21 HARRISON Rise DRYSDALE 3222,-38.165919412005,144.562015777715,-38.165918912005004,144.562016877715
53313076189,27 HARRISON Rise DRYSDALE 3222,-38.165964380915,144.56253218677,-38.165963880915,144.56253328677
53312953021,19 HARRISON Rise DRYSDALE 3222,-38.165894350114,144.561841182672,-38.165893850114,144.561842282672
53312953138,26 HARRISON Rise DRYSDALE 3222,-38.166186668987,144.562346527615,-38.166186168987004,144.562347627615
53312953260,28 HARRISON Rise DRYSDALE 3222,-38.166183274317,144.562578538695,-38.166182774317,144.56257963869498
53312954466,3 FRANKLIN Way DRYSDALE 3222,-38.166185495521,144.561460141354,-38.166184995521,144.56146124135398
53312954715,U44 2 FRANKLIN Way DRYSDALE 3222,-38.166236750859,144.561729619541,-38.166236250859,144.561730719541
53312954814,1 REGAL Road POINT COOK 3030,-37.902655754542,144.729762398834,-37.902655254542005,144.729763498834
53312954929,U2 47 GOODALL Street WARRNAMBOOL 3280,-38.354834810996,142.477870053834,-38.354834310996004,142.477871153834
53312955860,46 RAMBLER Boulevard TARNEIT 3029,-37.814133156936,144.690625688383,-37.814132656936,144.69062678838299
53312955943,19 COBUNGRA Road WEIR VIEWS 3338,-37.740349065392,144.574841682136,-37.740348565392004,144.574842782136
53312833743,16 SPRINTER Way WINTER VALLEY 3358,-37.57261511291,143.788630563667,-37.57261461291,143.788631663667
53312835384,13 HORGI Street WYNDHAM VALE 3024,-37.865736385745,144.627590423742,-37.865735885745,144.62759152374198
53312966081,74 ARARAT Street TRUGANINA 3029,-37.759392623678,144.671697087899,-37.759392123678005,144.67169818789898
53312966890,26 GILLIFLOWER Street TARNEIT 3029,-37.820846851832,144.661943653907,-37.820846351832,144.661944753907
53312848691,3 ECRU Street WYNDHAM VALE 3024,-37.870633596494,144.624859599688,-37.870633096494004,144.62486069968799
53312851806,23 VILLANDRY Street ROXBURGH PARK 3064,-37.615468514904,144.914409762674,-37.615468014904,144.914410862674
